[[[-0.41726074  0.4763691   0.08899265]
  [-0.14282437  0.15086086 -0.01459383]
  [-0.04449267 -0.26051292 -0.09908639]
  [ 0.04719822 -0.27992243  0.12651911]
  [ 0.19537956  0.09840762  0.08309701]
  [ 0.12040634  0.5037092   0.22776994]
  [ 0.5508807  -0.35285625 -0.31784403]
  [ 0.31887847 -0.4775924  -0.32960486]
  [ 0.15119176 -0.6617423  -0.20805928]
  [ 0.14254758 -0.71669453  0.07289782]
  [ 0.13429168 -0.59029067  0.31815127]
  [ 0.3045534  -0.44878936  0.44735837]
  [ 0.16562743 -0.7396494  -0.07834014]
  [ 0.19371279 -0.9409738  -0.10662583]
  [ 0.32451153 -0.85518026 -0.10498131]
  [ 0.28920004 -0.8973848  -0.07376716]
  [ 0.28212866 -0.88713396 -0.13964382]
  [ 0.2010352  -0.8799663  -0.02221134]
  [ 0.18569031 -0.8578434  -0.16927107]]]
