[[[-0.3959628   0.27700305  0.41025165]
  [-0.2020264   0.14740701  0.03534724]
  [-0.09793074 -0.2635884  -0.05988493]
  [ 0.09189126 -0.27930602  0.09196032]
  [ 0.27955136  0.04555578 -0.06053687]
  [ 0.1998887   0.43418384  0.12771636]
  [ 0.45344317 -0.8221801  -0.39711434]
  [ 0.19221075 -0.8063468  -0.36064285]
  [ 0.02447393 -0.75490886 -0.14732845]
  [ 0.10197958 -0.700609    0.10850228]
  [ 0.05917716 -0.4954175   0.28982198]
  [ 0.22004464 -0.31133565  0.22634913]
  [ 0.08095299 -0.7712517  -0.03142552]
  [ 0.12746653 -0.9729925  -0.05699081]
  [ 0.20580445 -0.86791193 -0.14261082]
  [ 0.20920521 -0.9101574  -0.09585831]
  [ 0.15907562 -0.91147965 -0.14006314]
  [ 0.17414173 -0.89903116  0.00104655]
  [ 0.06324699 -0.90313005 -0.09808457]]]
