[[[-0.43069783  0.2915664   0.39079666]
  [-0.19681181  0.1466372   0.04130776]
  [-0.09093749 -0.2621454  -0.06833562]
  [ 0.08633573 -0.28302318  0.09748699]
  [ 0.27605098  0.05877865 -0.02963738]
  [ 0.1701162   0.43559897  0.17258283]
  [ 0.4793031  -0.8321776  -0.34979653]
  [ 0.21380298 -0.8235762  -0.33624423]
  [ 0.0252586  -0.7628901  -0.14413583]
  [ 0.08650933 -0.70747733  0.11572462]
  [ 0.05989259 -0.5000011   0.29999864]
  [ 0.24079208 -0.32368803  0.26573652]
  [ 0.07490662 -0.7767914  -0.02591391]
  [ 0.14495674 -0.97377884 -0.06080077]
  [ 0.22243606 -0.85271394 -0.12280248]
  [ 0.22321996 -0.8986921  -0.07962301]
  [ 0.18145537 -0.9010204  -0.13183814]
  [ 0.1717359  -0.9016154   0.01019471]
  [ 0.07912278 -0.90712684 -0.10661145]]]
