[[[-5.2068347e-01  3.9183399e-01  1.8936820e-01]
  [-2.5093821e-01  1.1318830e-01 -1.9336283e-02]
  [-9.1725051e-02 -2.6609921e-01 -6.1233323e-02]
  [ 8.8151067e-02 -2.6804703e-01  9.5247626e-02]
  [ 2.8061822e-01  7.0711821e-02  2.4036813e-04]
  [ 2.3487779e-01  4.4615948e-01  2.2444001e-01]
  [ 4.6755916e-01 -8.2034880e-01 -2.2695716e-01]
  [ 2.2338882e-01 -7.6582634e-01 -3.0907941e-01]
  [ 1.1617599e-02 -7.3273671e-01 -1.4480370e-01]
  [ 9.1062702e-02 -7.2815907e-01  9.9360168e-02]
  [ 2.5534773e-01 -6.8777210e-01  3.1020707e-01]
  [ 4.6906281e-01 -7.9320264e-01  2.2781974e-01]
  [ 5.4613903e-02 -7.6661760e-01 -3.3423226e-02]
  [ 6.0743492e-02 -9.6308035e-01 -4.5448530e-02]
  [ 1.6681159e-01 -8.8713247e-01 -1.3125172e-01]
  [ 1.5729482e-01 -9.2482805e-01 -8.2253501e-02]
  [ 1.1109783e-01 -9.1778189e-01 -1.2948477e-01]
  [ 1.2070492e-01 -8.9847499e-01  1.0726865e-02]
  [ 1.7898969e-02 -8.8367879e-01 -9.5885515e-02]]]
