[[[-1.51064500e-01  4.99017298e-01 -3.44369523e-02]
  [-1.34348543e-03  1.18294351e-01 -2.32550740e-01]
  [-1.05588004e-01 -2.62442559e-01 -6.05711043e-02]
  [ 7.82897174e-02 -2.89104640e-01  1.23717703e-01]
  [ 3.27986211e-01 -1.75696444e-02 -8.34826976e-02]
  [ 2.31249154e-01  3.37138772e-01  1.78458601e-01]
  [ 4.46383655e-01 -3.84115845e-01 -2.57601023e-01]
  [ 1.78059444e-01 -3.44794869e-01 -2.82994032e-01]
  [ 3.84045541e-02 -5.97872496e-01 -2.65111387e-01]
  [ 1.52262226e-01 -7.03920543e-01 -8.65615904e-04]
  [ 1.32054180e-01 -5.23269355e-01  2.22281516e-01]
  [ 2.33304128e-01 -3.76402080e-01  3.07598617e-02]
  [ 1.08174995e-01 -7.09913731e-01 -1.64714545e-01]
  [ 1.41971827e-01 -9.14376140e-01 -2.31742263e-01]
  [ 2.27966517e-01 -8.00127089e-01 -2.94568747e-01]
  [ 2.27594078e-01 -8.49815726e-01 -2.55309522e-01]
  [ 1.78850219e-01 -8.40439975e-01 -3.01331043e-01]
  [ 1.90273181e-01 -8.53693306e-01 -1.57384068e-01]
  [ 8.04494619e-02 -8.34437013e-01 -2.63034075e-01]]]
