[[[ 0.06211679  0.61063236 -0.05928626]
  [-0.0498489   0.16343656 -0.13034672]
  [-0.12996022 -0.24723054  0.04853769]
  [ 0.11970957 -0.28933907  0.02445455]
  [ 0.05208403 -0.1443963  -0.37856096]
  [ 0.11959823  0.20377773 -0.11595246]
  [-0.2147876  -0.36778122 -0.04020774]
  [-0.29086602 -0.42180818  0.2096309 ]
  [-0.21408513 -0.6857257   0.12479739]
  [ 0.08482444 -0.7285069   0.03948889]
  [ 0.1982257  -0.53268516 -0.14094567]
  [ 0.01585438 -0.5748201  -0.3322814 ]
  [-0.06978219 -0.76845074  0.07313533]
  [-0.08124626 -0.98094237  0.04360892]
  [-0.08176094 -0.8829545  -0.07803278]
  [-0.04842239 -0.92481834 -0.04449384]
  [-0.11548167 -0.921182   -0.0399694 ]
  [-0.00153038 -0.91180766  0.04518176]
  [-0.15287629 -0.90321845  0.05811465]]]
