[[[ 0.04539157  0.34165657  0.0700747 ]
  [-0.22971615  0.08011905 -0.11792241]
  [-0.10320306 -0.27341127  0.09857557]
  [ 0.10302475 -0.2903678  -0.03937323]
  [-0.02149838  0.08683728 -0.20177959]
  [ 0.05150973  0.49511126 -0.05767783]
  [-0.27288306 -0.43945515  0.09565876]
  [-0.11955607 -0.5048286   0.28151736]
  [-0.17345557 -0.71311283  0.10879619]
  [ 0.02265339 -0.7541672  -0.1254374 ]
  [ 0.07569161 -0.5959191  -0.3450396 ]
  [-0.12085828 -0.7476695  -0.31259182]
  [-0.100663   -0.7898735  -0.02496432]
  [-0.1803274  -0.99257153 -0.06968652]
  [-0.22842067 -0.8681078  -0.15218619]
  [-0.19405462 -0.9216422  -0.15197057]
  [-0.24121907 -0.9101927  -0.10592471]
  [-0.09945598 -0.9366467  -0.11173887]
  [-0.20612077 -0.9131031  -0.00578295]]]
