[[[ 0.07358626  0.49571362  0.46106562]
  [-0.04547057  0.15946913  0.22643082]
  [-0.0818523  -0.2217702   0.10044622]
  [ 0.05515407 -0.20273836 -0.09044014]
  [ 0.05578037  0.20512864 -0.0156675 ]
  [ 0.23705356  0.56690234  0.12946321]
  [-0.10632841 -0.30833688  0.2944901 ]
  [ 0.01205307 -0.5048413   0.3306753 ]
  [-0.10714272 -0.5857403   0.11996879]
  [-0.01103723 -0.6028144  -0.11037172]
  [ 0.18817388 -0.4336816  -0.09637184]
  [ 0.0525636  -0.25586686 -0.10829153]
  [-0.09645899 -0.6406093   0.00554431]
  [-0.14647448 -0.8167416   0.05511874]
  [-0.23644336 -0.7019406   0.08743384]
  [-0.23593885 -0.7528638   0.05925129]
  [-0.19830936 -0.7392019   0.10933638]
  [-0.18258724 -0.7658919  -0.02037521]
  [-0.10820013 -0.7425615   0.08382732]]]
