[[[-0.29940125  0.4979653   0.02432248]
  [-0.18066701  0.11086953 -0.08114031]
  [-0.10952486 -0.2878301  -0.02391511]
  [ 0.10868653 -0.25499758  0.05818412]
  [ 0.1172679   0.11861891 -0.10286903]
  [ 0.09418882  0.47087422  0.12962027]
  [ 0.24147451 -0.59935033 -0.26369053]
  [ 0.01633471 -0.519437   -0.30838025]
  [-0.03647914 -0.7044647  -0.1406536 ]
  [ 0.15181261 -0.7147206   0.06502786]
  [ 0.19914627 -0.5049378   0.21073204]
  [ 0.22835067 -0.4682168  -0.01933731]
  [ 0.06412597 -0.76478946 -0.05280368]
  [ 0.06837163 -0.9690541  -0.06368786]
  [ 0.11469397 -0.8910041  -0.18919697]
  [ 0.13253365 -0.9281362  -0.14268574]
  [ 0.06886487 -0.9228887  -0.16057496]
  [ 0.14659171 -0.90165144 -0.04405569]
  [ 0.00514404 -0.8924807  -0.08605737]]]
