[[[-4.2428327e-01  3.7429020e-01  2.4357663e-01]
  [-2.6580748e-01  9.3950190e-02 -5.3430345e-02]
  [-1.1208034e-01 -3.0367100e-01 -1.6230030e-02]
  [ 1.1470743e-01 -2.4620827e-01  6.5438651e-02]
  [ 1.5554817e-01  1.0531052e-01 -1.0967487e-01]
  [ 7.3203564e-02  5.2479488e-01  2.5189552e-04]
  [ 2.7776903e-01 -3.4047312e-01 -4.6043825e-01]
  [ 2.4002269e-02 -4.0299153e-01 -4.4120711e-01]
  [ 8.6354271e-02 -6.1323518e-01 -2.8034055e-01]
  [ 3.3127758e-01 -5.5280745e-01 -1.5286843e-01]
  [ 4.5904368e-01 -3.1448668e-01 -2.0807067e-01]
  [ 3.7466568e-01 -2.8533465e-01 -4.5000684e-01]
  [ 2.2846466e-01 -6.2519145e-01 -2.3521599e-01]
  [ 3.2511580e-01 -7.7776945e-01 -3.3972591e-01]
  [ 3.2049814e-01 -6.3582194e-01 -4.0188172e-01]
  [ 3.5649073e-01 -6.7865801e-01 -3.7465006e-01]
  [ 2.9728398e-01 -6.9422001e-01 -4.0174505e-01]
  [ 3.6187294e-01 -7.0404398e-01 -2.7376056e-01]
  [ 2.2755355e-01 -7.3894358e-01 -3.3607677e-01]]]
