[[[-0.31481975  0.37215498  0.26181015]
  [-0.22825018  0.11359921 -0.07107185]
  [-0.11543307 -0.29794645 -0.01058563]
  [ 0.11540612 -0.24896675  0.05724055]
  [ 0.1347258   0.11472096 -0.11417589]
  [ 0.04767936  0.5217743   0.01886902]
  [ 0.27787262 -0.41797328 -0.50455505]
  [ 0.03672621 -0.4779569  -0.42455226]
  [ 0.04677496 -0.66381025 -0.23239402]
  [ 0.29257634 -0.60935915 -0.09662158]
  [ 0.42629975 -0.37532368 -0.13698268]
  [ 0.46535695 -0.35729206 -0.38772982]
  [ 0.18424995 -0.68503267 -0.18080136]
  [ 0.26026717 -0.8582394  -0.27725217]
  [ 0.25809824 -0.7221754  -0.35008314]
  [ 0.29392427 -0.7652377  -0.32341954]
  [ 0.23138769 -0.77846783 -0.34241605]
  [ 0.30840218 -0.7827524  -0.22199063]
  [ 0.16691634 -0.8119968  -0.26661748]]]
