[[[-0.09843044  0.41355067  0.15230632]
  [-0.16627823  0.10784278 -0.11592564]
  [-0.118838   -0.29528987 -0.00296009]
  [ 0.11102327 -0.26267383  0.04425254]
  [ 0.0954057   0.08935057 -0.15026435]
  [ 0.15909496  0.48530114 -0.0207911 ]
  [ 0.3840182  -0.30731824 -0.29645866]
  [ 0.21522011 -0.5012592  -0.3123452 ]
  [ 0.11422192 -0.7057352  -0.19157897]
  [ 0.23744854 -0.66363573  0.04855639]
  [ 0.20568489 -0.4835104   0.23957908]
  [ 0.27921215 -0.2520319   0.29591447]
  [ 0.2038173  -0.72913927 -0.08113116]
  [ 0.32160512 -0.9032746  -0.0768184 ]
  [ 0.37811482 -0.777426   -0.14694488]
  [ 0.3803049  -0.81374085 -0.09595126]
  [ 0.35411054 -0.8349482  -0.15371174]
  [ 0.31224674 -0.8185076  -0.01877498]
  [ 0.25262064 -0.86565113 -0.14886086]]]
