[[[-1.33871123e-01  4.06500757e-01  1.68100744e-01]
  [-1.68536946e-01  1.02586769e-01 -1.05299793e-01]
  [-1.18457675e-01 -3.03040743e-01 -8.84297770e-05]
  [ 1.10589474e-01 -2.69526124e-01  4.02047224e-02]
  [ 1.00380540e-01  8.92908797e-02 -1.41405657e-01]
  [ 1.37206599e-01  4.80398566e-01  4.30352427e-03]
  [ 2.72088498e-01 -3.85558873e-01 -3.70747924e-01]
  [ 9.14762020e-02 -5.59281349e-01 -3.23324114e-01]
  [ 6.21951111e-02 -7.49303818e-01 -1.52356431e-01]
  [ 2.36872688e-01 -6.81149304e-01  6.12339824e-02]
  [ 2.36269504e-01 -4.65261877e-01  2.17087269e-01]
  [ 3.36051166e-01 -2.38682926e-01  2.10367426e-01]
  [ 1.79298475e-01 -7.65025795e-01 -5.41567504e-02]
  [ 2.89927572e-01 -9.49152887e-01 -4.97765020e-02]
  [ 3.47576857e-01 -8.28857422e-01 -1.29586607e-01]
  [ 3.50846648e-01 -8.63070607e-01 -7.67338052e-02]
  [ 3.20249826e-01 -8.85754883e-01 -1.31781369e-01]
  [ 2.87805438e-01 -8.60743642e-01  4.89461794e-03]
  [ 2.17071235e-01 -9.11479175e-01 -1.19824365e-01]]]
