[[[-9.75146294e-02  4.40742940e-01  2.10296601e-01]
  [-1.61150262e-01  1.25715464e-01 -6.40426278e-02]
  [-1.22311398e-01 -2.98592389e-01  1.74182840e-02]
  [ 1.14976048e-01 -2.64790893e-01  1.94218233e-02]
  [ 5.15531264e-02  1.18342757e-01 -1.29634529e-01]
  [ 9.60799009e-02  5.25902748e-01  2.30721058e-03]
  [ 2.46803448e-01 -3.44501317e-01 -2.95518816e-01]
  [ 4.32588644e-02 -5.07270336e-01 -2.72704899e-01]
  [ 6.30401075e-04 -7.31368244e-01 -1.49733424e-01]
  [ 2.21562922e-01 -6.84672058e-01  2.90367231e-02]
  [ 2.11054131e-01 -4.55820292e-01  1.77083164e-01]
  [ 2.20175490e-01 -2.12666377e-01  2.59636402e-01]
  [ 1.32800668e-01 -7.68723547e-01 -7.70804435e-02]
  [ 1.98684126e-01 -9.74963069e-01 -1.13358334e-01]
  [ 2.23633230e-01 -8.67713034e-01 -2.23150834e-01]
  [ 2.49957532e-01 -9.03898001e-01 -1.78593546e-01]
  [ 1.89047217e-01 -9.16717410e-01 -2.03353405e-01]
  [ 2.48351544e-01 -8.89791548e-01 -7.50719532e-02]
  [ 1.11387916e-01 -9.18918312e-01 -1.31893381e-01]]]
