[[[-0.5319023   0.41420776  0.13049431]
  [-0.24139632  0.11141969 -0.04044669]
  [-0.07894342 -0.29001957 -0.07510094]
  [ 0.07578457 -0.27147666  0.11943035]
  [ 0.29307285  0.0232593  -0.01081333]
  [ 0.2470907   0.4648693   0.05403979]
  [ 0.02933103 -0.12536266 -0.34062752]
  [ 0.00587041 -0.3901409  -0.29888225]
  [ 0.14004186 -0.63610846 -0.22247772]
  [ 0.25027716 -0.66961217  0.05833191]
  [ 0.13899682 -0.5063056   0.26050514]
  [ 0.27995342 -0.29196486  0.22317374]
  [ 0.24124095 -0.7011627  -0.10418265]
  [ 0.3400126  -0.8837428  -0.16367766]
  [ 0.4040525  -0.747509   -0.20968369]
  [ 0.4100452  -0.79859024 -0.17258221]
  [ 0.36754724 -0.7982276  -0.22478323]
  [ 0.3618539  -0.81847733 -0.08179229]
  [ 0.2666312  -0.81808436 -0.20120159]]]
