[[[-7.5802112e-01  1.7423268e-01  1.1087817e-01]
  [-3.6646605e-01 -6.1761786e-04  2.3787072e-02]
  [-8.9478135e-02 -2.6435402e-01 -5.7059929e-02]
  [ 1.0280654e-01 -2.2225448e-01  9.1016404e-02]
  [ 2.9104203e-01  2.0949414e-02 -7.9039060e-02]
  [ 8.9762859e-02  3.1217515e-01  1.4679563e-01]
  [ 1.4918511e-01 -1.9270305e-02 -3.2401383e-01]
  [ 4.5503959e-02 -2.6034480e-01 -2.9875296e-01]
  [ 6.3787073e-02 -5.2794516e-01 -2.4930307e-01]
  [ 2.8939557e-01 -5.5087137e-01 -1.0358524e-01]
  [ 3.8625199e-01 -3.0203074e-01 -3.5853006e-02]
  [ 4.0429574e-01 -5.8224712e-02 -1.1721435e-01]
  [ 1.8429814e-01 -5.9255832e-01 -2.0398694e-01]
  [ 1.9390538e-01 -7.6310891e-01 -3.1316507e-01]
  [ 2.4467066e-01 -6.3112766e-01 -3.6971730e-01]
  [ 2.6131821e-01 -6.8645710e-01 -3.5303995e-01]
  [ 1.9976686e-01 -6.7197084e-01 -3.7019205e-01]
  [ 2.6513806e-01 -7.1820182e-01 -2.5807348e-01]
  [ 1.3303350e-01 -6.8898976e-01 -2.9779491e-01]]]
