[[[-7.35186219e-01  2.01929659e-01  2.66324766e-02]
  [-3.48580360e-01  1.61366463e-02 -1.05852433e-01]
  [-1.03161231e-01 -2.77348846e-01 -2.86021922e-02]
  [ 1.11080326e-01 -2.25251824e-01  8.70492682e-02]
  [ 3.06421936e-01  6.33074157e-03 -1.30754501e-01]
  [ 8.82957131e-02  2.86527216e-01  1.03774205e-01]
  [ 1.59847051e-01 -9.25336182e-02 -3.94780517e-01]
  [ 1.58245005e-02 -3.00599813e-01 -2.98824877e-01]
  [ 2.57333741e-04 -5.62979221e-01 -2.13013604e-01]
  [ 2.50572622e-01 -5.82531631e-01 -1.02014035e-01]
  [ 3.40769470e-01 -3.22416037e-01 -6.98655844e-02]
  [ 3.31548572e-01 -9.90170464e-02 -2.09940478e-01]
  [ 1.24991916e-01 -6.29786432e-01 -1.82058543e-01]
  [ 1.11049563e-01 -8.15373719e-01 -2.60282338e-01]
  [ 1.20234974e-01 -6.93978667e-01 -3.52774858e-01]
  [ 1.47768945e-01 -7.44936407e-01 -3.35990876e-01]
  [ 8.32676068e-02 -7.35921860e-01 -3.26412261e-01]
  [ 1.96181983e-01 -7.58248270e-01 -2.46894002e-01]
  [ 5.32280952e-02 -7.40691066e-01 -2.30486944e-01]]]
