[[[-0.04174119  0.532144    0.2824934 ]
  [-0.05861626  0.16500679  0.05973882]
  [-0.11581102 -0.25303718 -0.01928445]
  [ 0.1106444  -0.25729194  0.02872286]
  [ 0.06592782  0.1613561   0.01579185]
  [ 0.05485829  0.56183064  0.18059959]
  [-0.13775204 -0.35812184 -0.16567287]
  [-0.26916468 -0.45995396  0.01246414]
  [-0.14178747 -0.6853272  -0.05126393]
  [ 0.14023355 -0.6822373  -0.00746876]
  [ 0.20890313 -0.42927933  0.05728596]
  [ 0.11313484 -0.3230554  -0.13583018]
  [ 0.00266396 -0.7500597  -0.04976802]
  [-0.01453081 -0.9529748  -0.03687529]
  [-0.02844791 -0.8908052  -0.17732209]
  [ 0.00582042 -0.9282163  -0.14093979]
  [-0.05717168 -0.914372   -0.12740779]
  [ 0.06824638 -0.89781433 -0.06747156]
  [-0.06923097 -0.8719093  -0.03750305]]]
