[[[-0.06542823  0.36001602  0.5363247 ]
  [-0.12344739  0.1480103   0.16186582]
  [-0.1222505  -0.25921845  0.02431399]
  [ 0.11214386 -0.23883271 -0.01680142]
  [ 0.06784518  0.17579983  0.00892546]
  [ 0.0593158   0.549935    0.23187584]
  [-0.45184356 -1.0313628  -0.03229787]
  [-0.32572114 -0.8186871   0.03152527]
  [-0.09425182 -0.702801   -0.03550454]
  [ 0.14056058 -0.6936929  -0.10700326]
  [ 0.3753605  -0.78377914 -0.18418689]
  [ 0.4969388  -0.97521913 -0.29819047]
  [ 0.01864726 -0.7333762  -0.08955298]
  [ 0.0167725  -0.93142223 -0.07954093]
  [-0.02452431 -0.8774945  -0.21944904]
  [ 0.01852292 -0.9086679  -0.1880793 ]
  [-0.04380062 -0.9035278  -0.1663677 ]
  [ 0.08388585 -0.8679965  -0.12125346]
  [-0.05097218 -0.8586323  -0.07305861]]]
