[[[ 0.08635947  0.5682111  -0.03139981]
  [ 0.11150598  0.15367997  0.00791536]
  [ 0.09820658 -0.26794264 -0.02412577]
  [-0.0962391  -0.2207308   0.07166597]
  [ 0.04269296  0.17227797  0.04109268]
  [ 0.08780523  0.5836721  -0.04373691]
  [ 0.07173038 -0.25395727  0.2188092 ]
  [ 0.10850645 -0.44924647  0.06892774]
  [ 0.02242208 -0.678378    0.00497931]
  [-0.21928936 -0.6152326   0.04496283]
  [-0.1737784  -0.36679107 -0.00809832]
  [-0.08896166 -0.14493576  0.03439846]
  [-0.10639911 -0.7119648   0.03360016]
  [-0.11554478 -0.9173244   0.02472834]
  [-0.01952565 -0.8452324   0.11888824]
  [-0.06766708 -0.88292116  0.1167829 ]
  [-0.02625072 -0.87528545  0.06672163]
  [-0.1601254  -0.85613525  0.08922958]
  [-0.07206678 -0.8435518  -0.01238609]]]
