[[[-0.01764322  0.54854757  0.07023977]
  [-0.03297862  0.13932277  0.16705665]
  [ 0.07396405 -0.2630307   0.09517881]
  [-0.0907297  -0.24172708 -0.06199222]
  [-0.07139138  0.17524709 -0.00497304]
  [ 0.06478224  0.57546103 -0.07093254]
  [ 0.02448571 -0.20637883  0.33199736]
  [ 0.08759061 -0.4280212   0.22771575]
  [ 0.04620128 -0.6689985   0.1265673 ]
  [-0.08631081 -0.6716857  -0.10953409]
  [-0.07488333 -0.42543173 -0.20851672]
  [-0.12780733 -0.1838891  -0.2033013 ]
  [-0.03381786 -0.7353492   0.0188392 ]
  [-0.04950218 -0.94778925  0.03237195]
  [-0.09107757 -0.855972    0.14743991]
  [-0.11117169 -0.896327    0.10547766]
  [-0.04834285 -0.8941493   0.12491342]
  [-0.11823019 -0.87988824  0.00555119]
  [ 0.01425962 -0.8769249   0.04946873]]]
