[[[-0.0013968   0.5768012   0.03201333]
  [-0.00886048  0.15630461  0.11073758]
  [ 0.0692803  -0.26561505  0.10137886]
  [-0.08690707 -0.24589778 -0.06621154]
  [-0.10372111  0.16473417  0.02894688]
  [-0.05220243  0.5931146   0.02669767]
  [-0.10116395 -0.19816448  0.30560133]
  [ 0.00524767 -0.42123258  0.23556617]
  [ 0.01163196 -0.6718577   0.14254259]
  [-0.07215087 -0.6769996  -0.11757658]
  [-0.0070047  -0.43228242 -0.20433813]
  [-0.02160456 -0.18247052 -0.2094064 ]
  [-0.04890142 -0.7417308   0.02079716]
  [-0.08416239 -0.95711136  0.04349294]
  [-0.14294192 -0.85230917  0.13867293]
  [-0.15608968 -0.894765    0.09517751]
  [-0.09955081 -0.89552504  0.12946372]
  [-0.13773601 -0.8863661  -0.00475633]
  [-0.01863497 -0.88993317  0.07048902]]]
