[[[-0.01932182  0.5934956   0.2213396 ]
  [-0.06032707  0.18984947  0.13663663]
  [-0.08505569 -0.20978352  0.08921409]
  [ 0.0594622  -0.17831184 -0.07964851]
  [-0.05278761  0.20782906 -0.08214863]
  [ 0.00442427  0.6209905  -0.03559709]
  [-0.27126583 -0.5502181   0.32266942]
  [-0.09765778 -0.41380388  0.30376947]
  [ 0.00931722 -0.5457371   0.13944787]
  [ 0.07071599 -0.6113394  -0.03089802]
  [ 0.11070709 -0.7258136  -0.24254245]
  [ 0.01109023 -0.9134317  -0.3098555 ]
  [ 0.02873217 -0.6046082   0.06146462]
  [ 0.03540068 -0.74487156  0.13086647]
  [-0.10089836 -0.6874843   0.11825205]
  [-0.07226835 -0.7348418   0.10456736]
  [-0.05883608 -0.69722694  0.1544734 ]
  [ 0.00339894 -0.7318431   0.04584311]
  [ 0.02459617 -0.6615772   0.14671186]]]
