[[[ 0.06804931  0.55853     0.25863537]
  [-0.05963556  0.1720997   0.09751336]
  [-0.0962467  -0.25914302  0.08322762]
  [ 0.07460956 -0.24240306 -0.07160617]
  [ 0.05850831  0.1823841  -0.01235402]
  [ 0.16361229  0.5787144   0.15336475]
  [-0.18307945 -0.16543551  0.11321227]
  [-0.10467868 -0.4055848   0.16485089]
  [-0.08076477 -0.6664266   0.0957119 ]
  [ 0.07245243 -0.6560759  -0.13593942]
  [ 0.12034648 -0.3883686  -0.16329727]
  [ 0.0521817  -0.15277125 -0.2222771 ]
  [-0.0188296  -0.73476404 -0.03050664]
  [-0.0239653  -0.9476732  -0.02586409]
  [-0.13736066 -0.86181647  0.02463303]
  [-0.12138385 -0.9055649  -0.01578273]
  [-0.08643796 -0.89422375  0.03822564]
  [-0.06687461 -0.8889284  -0.09938572]
  [ 0.00541893 -0.86917686  0.01942391]]]
