[[[-0.15904176  0.3038447  -0.11968061]
  [-0.33273548 -0.07020687 -0.23467676]
  [-0.12495985 -0.2589532   0.05406456]
  [ 0.12071904 -0.26876295  0.04254323]
  [ 0.2905952  -0.07526317 -0.27218518]
  [ 0.20556498  0.34545633 -0.15932517]
  [-0.40593702 -0.7065703   0.03018204]
  [-0.3599976  -0.48370183  0.1429475 ]
  [-0.13944843 -0.6798798   0.16697484]
  [ 0.16796532 -0.6735359   0.13551621]
  [ 0.38739908 -0.49493343  0.0574261 ]
  [ 0.43208852 -0.7294809  -0.02475433]
  [ 0.01481777 -0.7436324   0.14719664]
  [ 0.01346511 -0.9646872   0.16146256]
  [-0.06383278 -0.8890313   0.05196312]
  [-0.01792744 -0.9281176   0.06396949]
  [-0.06640347 -0.91835934  0.10820825]
  [ 0.07611901 -0.9030612   0.10238737]
  [-0.03452717 -0.8842018   0.20133674]]]
