[[[-0.2316375   0.25917262 -0.20787314]
  [-0.40065196 -0.126935   -0.16295704]
  [-0.11004943 -0.25941873  0.07944098]
  [ 0.12099625 -0.2391215   0.00376584]
  [ 0.14720815 -0.01796645 -0.33820018]
  [ 0.13688013  0.40228534 -0.20606403]
  [ 0.01959907 -0.8367151   0.30263117]
  [-0.21927673 -0.7914029   0.3527179 ]
  [ 0.00377644 -0.65365607  0.27063668]
  [ 0.25277287 -0.62013865  0.20678669]
  [ 0.48693419 -0.7436526   0.17368516]
  [ 0.25106674 -0.78678054  0.22677612]
  [ 0.130681   -0.6701439   0.23179609]
  [ 0.14376216 -0.88219744  0.20681636]
  [ 0.07465361 -0.7883512   0.10756097]
  [ 0.12152037 -0.82525706  0.11578964]
  [ 0.06747048 -0.82920915  0.15305687]
  [ 0.20428374 -0.8071658   0.17329247]
  [ 0.08546729 -0.8170202   0.25550562]]]
