[[[-0.10160469  0.51915675  0.2541407 ]
  [-0.14081064  0.09025612  0.19730216]
  [ 0.04662019 -0.28580153  0.12080076]
  [-0.05556    -0.25790215 -0.09404433]
  [-0.03401092  0.17354774 -0.0584842 ]
  [ 0.2758832   0.48614103 -0.06439233]
  [ 0.19158076 -0.22602373  0.28717163]
  [ 0.16772321 -0.47107485  0.20649599]
  [ 0.01497257 -0.6968327   0.16775297]
  [-0.12587354 -0.7295536  -0.08260109]
  [-0.10733286 -0.5327599  -0.27570885]
  [-0.16848284 -0.28882074 -0.24334379]
  [-0.08351533 -0.76624805  0.06975245]
  [-0.16408816 -0.96028143  0.1411278 ]
  [-0.12618153 -0.842405    0.2361857 ]
  [-0.17278479 -0.8779476   0.21408431]
  [-0.10870465 -0.89705145  0.21054655]
  [-0.21776098 -0.8721502   0.11768545]
  [-0.07770686 -0.9155052   0.11418238]]]
