[[[-0.15225138  0.5295345   0.33608276]
  [ 0.00753574  0.21346246  0.11415887]
  [ 0.01881256 -0.13347337 -0.09375362]
  [ 0.01167596 -0.24211915  0.09929314]
  [ 0.02166936  0.14434785  0.22245687]
  [-0.12295711  0.44520465  0.4835544 ]
  [ 0.58609444 -0.36299863 -0.08229589]
  [ 0.40387    -0.3106005  -0.21747588]
  [ 0.21830374 -0.46887687 -0.18148021]
  [ 0.1561542  -0.5240305   0.01950083]
  [ 0.04577333 -0.40776342  0.21634965]
  [ 0.18174678 -0.30408087  0.35558552]
  [ 0.20956095 -0.5289414  -0.09291691]
  [ 0.28562284 -0.6767748  -0.14175257]
  [ 0.36396682 -0.55623174 -0.12249286]
  [ 0.35936946 -0.6098114  -0.10266156]
  [ 0.34520188 -0.5918741  -0.16153882]
  [ 0.28094593 -0.6377568  -0.06106645]
  [ 0.2586311  -0.60518265 -0.17615251]]]
