[[[-0.01838784  0.5596651   0.07779074]
  [ 0.01996845  0.14586696 -0.0419277 ]
  [-0.043229   -0.27347326 -0.10469929]
  [ 0.04458484 -0.2991643   0.12744245]
  [ 0.06458896  0.13051327  0.15232597]
  [-0.2059076   0.44057435  0.2947222 ]
  [ 0.09124785 -0.20279011 -0.24275962]
  [-0.00243096 -0.44565666 -0.2500587 ]
  [ 0.04431818 -0.7162699  -0.19257051]
  [ 0.1323539  -0.73489153  0.10054272]
  [ 0.08184412 -0.48584896  0.22888136]
  [ 0.12448595 -0.2338819   0.24118416]
  [ 0.11559223 -0.79886585 -0.05956921]
  [ 0.18883957 -1.0201823  -0.11170059]
  [ 0.26279786 -0.8889624  -0.15778653]
  [ 0.2644061  -0.93907607 -0.11940227]
  [ 0.22548908 -0.93667287 -0.17431784]
  [ 0.20926741 -0.9539875  -0.02947574]
  [ 0.12239741 -0.95071834 -0.15206869]]]
