[[[-0.09231284  0.5050797   0.23081441]
  [ 0.12214305  0.15628079  0.18879934]
  [ 0.09100675 -0.15804394 -0.04882872]
  [-0.0795209  -0.2255366   0.0787577 ]
  [-0.05031916  0.17424163  0.16827571]
  [-0.32990652  0.48633444  0.13883471]
  [ 0.34359702 -0.55634296  0.2349508 ]
  [ 0.39951542 -0.3703484   0.11853059]
  [ 0.23114872 -0.50897557  0.04440142]
  [ 0.0486901  -0.5585066   0.12432919]
  [-0.17464492 -0.52465045  0.19538791]
  [-0.05901411 -0.64361256  0.32794774]
  [ 0.15499079 -0.55239546  0.10172679]
  [ 0.21658307 -0.6700022   0.2059319 ]
  [ 0.23889038 -0.529385    0.22605863]
  [ 0.21353608 -0.57432693  0.25019088]
  [ 0.26402113 -0.5777942   0.2130197 ]
  [ 0.14479572 -0.6193396   0.20972244]
  [ 0.24631846 -0.6246391   0.13857876]]]
