[[[-0.01868939  0.48192066  0.37846714]
  [ 0.09879431  0.11172701  0.2416074 ]
  [ 0.09812812 -0.15930913 -0.03498709]
  [-0.0863728  -0.24983022  0.0600951 ]
  [-0.04004745  0.1078769   0.24339972]
  [-0.23084232  0.47449255  0.3010928 ]
  [ 0.40829563 -0.33686128  0.33730674]
  [ 0.38098252 -0.32904828  0.10781683]
  [ 0.25388104 -0.51372606  0.00523336]
  [ 0.03759189 -0.5820265   0.0565413 ]
  [-0.17796545 -0.4678086   0.09694748]
  [-0.1839178  -0.41385442  0.308487  ]
  [ 0.16217194 -0.5847008   0.04284851]
  [ 0.20127186 -0.75043356  0.1052977 ]
  [ 0.24440247 -0.6275342   0.16968814]
  [ 0.21018791 -0.6730108   0.17751595]
  [ 0.26261336 -0.6736177   0.14214024]
  [ 0.13648558 -0.68955535  0.12251648]
  [ 0.24382459 -0.69197154  0.05564105]]]
