[[[ 0.01120759  0.19718896 -0.2834826 ]
  [-0.1351929  -0.15209727 -0.38387564]
  [-0.11870626 -0.18773867  0.01046807]
  [ 0.10646895 -0.2197617   0.05500004]
  [ 0.25146043 -0.1521547  -0.31809956]
  [ 0.22580323  0.22960001 -0.19459538]
  [-0.38306156 -0.5268177   0.13330588]
  [-0.37640274 -0.3176436   0.21264052]
  [-0.18931173 -0.48578188  0.2426304 ]
  [ 0.05998546 -0.5316182   0.2147113 ]
  [ 0.22415525 -0.44387597  0.03955651]
  [ 0.11487249 -0.6279837  -0.00467743]
  [-0.07918361 -0.551489    0.23532566]
  [-0.10944219 -0.7373749   0.25038308]
  [-0.20338953 -0.64345515  0.18827206]
  [-0.17325157 -0.68909156  0.17637591]
  [-0.19437498 -0.6746861   0.23486637]
  [-0.07564931 -0.6879872   0.17913951]
  [-0.12324795 -0.6616147   0.29528356]]]
