[[[-0.04881069  0.44512013  0.40958983]
  [-0.05672707  0.17955069  0.06306225]
  [-0.1227612  -0.24853209  0.03370393]
  [ 0.10970293 -0.25044364 -0.011844  ]
  [ 0.0234226   0.13421276 -0.1577316 ]
  [ 0.08524675  0.55928016 -0.07662532]
  [-0.17082413 -1.2118951   0.0944285 ]
  [-0.19788691 -0.95375735  0.08311913]
  [-0.09991746 -0.71853054  0.10857207]
  [ 0.11813271 -0.7301948   0.04993663]
  [ 0.21777424 -0.9304694  -0.07563177]
  [ 0.20865694 -1.1774067  -0.15787569]
  [ 0.00443642 -0.74872375  0.08003157]
  [-0.01333727 -0.93622833  0.12982528]
  [-0.02611152 -0.9128573  -0.02272403]
  [ 0.00975434 -0.9356325   0.02248062]
  [-0.05538634 -0.92637366  0.03024009]
  [ 0.06271764 -0.88253343  0.09105778]
  [-0.07885117 -0.86201215  0.10937142]]]
