[[[-0.0818179   0.48780367  0.21826024]
  [-0.1563581   0.16777311 -0.06383292]
  [-0.12137699 -0.2408658   0.03513253]
  [ 0.11629056 -0.25007203  0.00097567]
  [ 0.08240849  0.11686396 -0.19045106]
  [ 0.12373538  0.53816223 -0.05667764]
  [-0.3554734  -0.03944032 -0.15561004]
  [-0.2836983  -0.26380253 -0.05071324]
  [-0.22739604 -0.5332304  -0.09950153]
  [ 0.03302896 -0.6283427  -0.15897028]
  [ 0.21841012 -0.4371584  -0.09057288]
  [ 0.24856411 -0.2004969  -0.16687307]
  [-0.12623419 -0.6353261  -0.16236784]
  [-0.23368485 -0.7995713  -0.25003693]
  [-0.23760124 -0.6594121  -0.30105487]
  [-0.22046888 -0.7164009  -0.31383157]
  [-0.26599258 -0.70321715 -0.2691205 ]
  [-0.14267462 -0.76288265 -0.273277  ]
  [-0.24397883 -0.7354179  -0.17954615]]]
