[[[-0.6180179  -0.16025539  0.52291787]
  [-0.3039746  -0.10322221  0.25006658]
  [-0.0157908  -0.09038394 -0.04885198]
  [ 0.04227331 -0.27726293  0.07703408]
  [-0.24566576 -0.05059983  0.2432667 ]
  [-0.58381176  0.11403829  0.4398554 ]
  [ 0.40731242 -0.01140789  0.12238622]
  [ 0.4181316   0.00569409 -0.10912024]
  [ 0.41407958 -0.2190221  -0.15853761]
  [ 0.39900407 -0.31967404 -0.01612796]
  [ 0.2254378  -0.38142353  0.15292522]
  [ 0.2904142  -0.21569757  0.27260193]
  [ 0.4442311  -0.26686    -0.08508912]
  [ 0.62955815 -0.23601443 -0.04506888]
  [ 0.514637   -0.23856789  0.05190944]
  [ 0.5617486  -0.26870245  0.03760436]
  [ 0.556235   -0.2040791   0.03430443]
  [ 0.57227045 -0.3009265  -0.04895451]
  [ 0.56168526 -0.18091986 -0.05687445]]]
