[[[ 0.15991339  0.53712404  0.06914994]
  [ 0.08162321  0.14281875  0.15207873]
  [ 0.1091643  -0.23818573  0.04484762]
  [-0.11479246 -0.2610634  -0.00318051]
  [-0.16486646  0.13670503  0.04696188]
  [-0.19222428  0.54592276 -0.00422256]
  [ 0.08136091 -0.36671248  0.39328894]
  [ 0.22968161 -0.36705875  0.20605904]
  [ 0.21346541 -0.59951466  0.13189289]
  [ 0.00371911 -0.72105813  0.08919524]
  [-0.24984093 -0.7340582   0.09980165]
  [-0.34255552 -0.83202475  0.29049394]
  [ 0.12648854 -0.69551575  0.13142142]
  [ 0.20893763 -0.8621644   0.19452119]
  [ 0.16322394 -0.75920403  0.29948038]
  [ 0.15268265 -0.8141467   0.2779141 ]
  [ 0.21015097 -0.78353494  0.2706059 ]
  [ 0.11228357 -0.83580387  0.18753888]
  [ 0.23701832 -0.7701459   0.1751082 ]]]
