[[[ 3.29450741e-02  4.96587396e-01  3.01543832e-01]
  [ 5.90693727e-02  9.61148292e-02  2.02174231e-01]
  [ 1.12616956e-01 -2.35205531e-01 -1.29896253e-02]
  [-1.11429587e-01 -2.84894228e-01  4.94775139e-02]
  [-1.04895875e-01  1.31159917e-01  7.94946104e-02]
  [-1.43137112e-01  5.28795958e-01 -5.03414162e-02]
  [ 5.99251151e-01 -6.89088166e-01  1.99356422e-01]
  [ 5.17971575e-01 -5.77919364e-01  6.78225886e-04]
  [ 2.75143713e-01 -6.54763341e-01  1.36974370e-02]
  [ 7.09471852e-02 -7.52041101e-01  7.14395195e-02]
  [-1.65399522e-01 -8.59118402e-01  8.60362500e-02]
  [-2.59173095e-01 -1.05202603e+00  1.87944964e-01]
  [ 1.95103779e-01 -7.29160309e-01  6.32854626e-02]
  [ 2.85110712e-01 -8.95808280e-01  4.68484461e-02]
  [ 2.99186558e-01 -8.37849319e-01  1.91067815e-01]
  [ 2.73228109e-01 -8.81399155e-01  1.57627046e-01]
  [ 3.27276230e-01 -8.48694623e-01  1.38170779e-01]
  [ 1.95388734e-01 -8.70177031e-01  9.11554843e-02]
  [ 3.15738857e-01 -7.99376547e-01  4.89383228e-02]]]
