[[[-2.0476937e-01  5.1818049e-01  1.7113288e-01]
  [-3.5577979e-02  1.9710061e-01 -3.7283279e-02]
  [-5.1530454e-02 -2.1524870e-01 -9.3085393e-02]
  [ 6.1402313e-02 -2.4682006e-01  1.0347612e-01]
  [ 1.7681229e-01  1.4462450e-01  5.6688394e-02]
  [ 7.1573243e-02  4.8605156e-01  2.7568007e-01]
  [ 2.2826946e-01 -2.2748564e-01 -1.6477306e-01]
  [ 7.2188333e-02 -4.0177509e-01 -2.3012589e-01]
  [ 1.7480873e-02 -6.3390493e-01 -1.4704542e-01]
  [ 8.4506743e-02 -6.4255178e-01  9.4235301e-02]
  [ 8.1611641e-02 -4.7109923e-01  2.9137984e-01]
  [ 2.3010094e-01 -3.2708439e-01  4.0014806e-01]
  [ 6.8584740e-02 -6.8506849e-01 -3.6274828e-02]
  [ 1.3959247e-01 -8.6876208e-01 -6.0481962e-02]
  [ 2.0321149e-01 -7.4782008e-01 -1.2569503e-01]
  [ 2.1207234e-01 -7.8969264e-01 -8.5157700e-02]
  [ 1.7155024e-01 -7.9667443e-01 -1.3497630e-01]
  [ 1.6179085e-01 -7.9514718e-01 -8.6118653e-04]
  [ 8.0275908e-02 -8.1259918e-01 -1.0600840e-01]]]
