[[[-0.03287071  0.49827135  0.19685528]
  [ 0.11469928  0.16794614 -0.01209357]
  [-0.02875951 -0.21601975 -0.101162  ]
  [ 0.03083755 -0.26219234  0.11698818]
  [ 0.14357753  0.13511172  0.10687768]
  [ 0.03173758  0.4981412   0.29522395]
  [ 0.31127852 -0.2933539  -0.18856162]
  [ 0.09991363 -0.37815544 -0.26332015]
  [ 0.09241638 -0.61999106 -0.17492093]
  [ 0.11608605 -0.6301315   0.09356274]
  [ 0.0547893  -0.42841804  0.25429744]
  [ 0.23399334 -0.31069788  0.33997467]
  [ 0.131286   -0.6777474  -0.04956767]
  [ 0.19469832 -0.86671287 -0.05714893]
  [ 0.23560563 -0.76749384 -0.16347028]
  [ 0.256546   -0.803364   -0.12053187]
  [ 0.19906278 -0.81230444 -0.14904603]
  [ 0.24521646 -0.78702503 -0.02192492]
  [ 0.12582254 -0.8105228  -0.08659788]]]
