[[[ 0.01364074  0.47116202  0.29996502]
  [-0.04752925  0.15024859  0.11240168]
  [-0.10848602 -0.21051964 -0.01832041]
  [ 0.09846723 -0.21447429 -0.02745248]
  [ 0.00346707  0.13215971  0.13061202]
  [-0.04622691  0.44997588  0.3280414 ]
  [-0.0950658  -0.21654378 -0.06489491]
  [-0.09821996 -0.41435146  0.01864042]
  [-0.11461639 -0.6234271  -0.05035717]
  [ 0.0778668  -0.6301768  -0.11508866]
  [ 0.14980394 -0.4029484  -0.09375836]
  [ 0.18048698 -0.21009174 -0.158211  ]
  [-0.03043018 -0.675621   -0.09818072]
  [-0.07420894 -0.8553506  -0.15220813]
  [-0.09902941 -0.7311123  -0.23703921]
  [-0.06726721 -0.7795436  -0.23665938]
  [-0.12596186 -0.7732292  -0.21118161]
  [-0.00437994 -0.7971547  -0.16527733]
  [-0.11651178 -0.7882367  -0.11893526]]]
