[[[-0.00818242  0.5077613   0.25910082]
  [-0.07107591  0.16336082  0.08630191]
  [-0.11153931 -0.21721734 -0.01464397]
  [ 0.10457834 -0.22113115 -0.0126532 ]
  [ 0.03932144  0.15974392  0.07880806]
  [ 0.02092267  0.5097078   0.25414664]
  [-0.06422103 -0.1891546   0.00096457]
  [-0.11795431 -0.4008022   0.05124252]
  [-0.11891005 -0.6234539  -0.02062008]
  [ 0.11222558 -0.6320808  -0.04844024]
  [ 0.16686966 -0.40117353  0.01851595]
  [ 0.17353827 -0.18456805  0.01367068]
  [-0.01006009 -0.6842577  -0.05027428]
  [-0.03036495 -0.8771776  -0.07275836]
  [-0.0700701  -0.7766943  -0.17983761]
  [-0.03219797 -0.8198267  -0.16953965]
  [-0.091093   -0.81589246 -0.14411187]
  [ 0.03410449 -0.8133401  -0.09921755]
  [-0.08148722 -0.8098424  -0.05057107]]]
