[[[-0.03237094  0.4819582   0.16222087]
  [-0.11447412  0.07762313  0.22215453]
  [ 0.06818086 -0.27792856  0.10548545]
  [-0.07704271 -0.2554305  -0.07712923]
  [-0.08509331  0.15999375 -0.01873576]
  [ 0.1426466   0.51433694 -0.08027855]
  [ 0.00570118 -0.33407804  0.3779282 ]
  [ 0.14112899 -0.4394851   0.20173204]
  [ 0.05599702 -0.6850862   0.13599391]
  [-0.15744415 -0.7030183  -0.05557393]
  [-0.28514257 -0.4686544  -0.06419183]
  [-0.25661844 -0.47915548  0.1761495 ]
  [-0.05872368 -0.75610995  0.05684211]
  [-0.10548133 -0.96317494  0.12831321]
  [-0.08464812 -0.83907485  0.21670601]
  [-0.1252013  -0.8808448   0.19662923]
  [-0.05996336 -0.8913791   0.19456959]
  [-0.16755201 -0.8851786   0.10153201]
  [-0.02519289 -0.910066    0.10005798]]]
