[[[ 0.13042456  0.50608325  0.25510615]
  [ 0.21169758  0.13547507  0.057669  ]
  [ 0.01972236 -0.20870018 -0.10053761]
  [-0.0225056  -0.2576918   0.12415899]
  [ 0.12719056  0.13090119  0.19190283]
  [ 0.02282007  0.5402502   0.30240873]
  [ 0.22514829 -0.21641015 -0.1841418 ]
  [ 0.02213852 -0.34483033 -0.2274777 ]
  [ 0.00098117 -0.6024479  -0.16849318]
  [-0.04391567 -0.62400573  0.1010081 ]
  [-0.07260451 -0.39132997  0.23441112]
  [ 0.06546938 -0.24600577  0.3678012 ]
  [-0.01024081 -0.679503   -0.0388951 ]
  [-0.01629602 -0.8802391  -0.0415321 ]
  [ 0.07524535 -0.8040609  -0.1317382 ]
  [ 0.07393751 -0.8439897  -0.08774981]
  [ 0.02387973 -0.8333695  -0.1271441 ]
  [ 0.04996208 -0.823234    0.00665513]
  [-0.05423761 -0.80505234 -0.08023773]]]
