[[[ 0.11534791  0.52581835  0.2088372 ]
  [ 0.21998802  0.14426595  0.02812278]
  [ 0.00327218 -0.20703238 -0.10229599]
  [-0.013758   -0.25893378  0.12661763]
  [ 0.20118216  0.10282933  0.19241431]
  [ 0.13611344  0.5144448   0.34566993]
  [ 0.27087495 -0.25218737 -0.2891998 ]
  [ 0.04135537 -0.3452491  -0.2668131 ]
  [-0.01243351 -0.5952119  -0.18132629]
  [-0.03925318 -0.62982523  0.09155547]
  [-0.03875388 -0.41856343  0.26182878]
  [ 0.12578477 -0.30553973  0.40481508]
  [-0.01440081 -0.6742538  -0.05338996]
  [-0.00284048 -0.8729623  -0.05851194]
  [ 0.07970773 -0.78850085 -0.1493546 ]
  [ 0.08238499 -0.8280782  -0.10493781]
  [ 0.03090782 -0.8226037  -0.14369589]
  [ 0.05739051 -0.8100121  -0.01017088]
  [-0.0499839  -0.80119103 -0.09669156]]]
