[[[ 0.08216892  0.53389335  0.3028399 ]
  [ 0.14806287  0.1814914   0.06221899]
  [-0.01034586 -0.17860606 -0.09790521]
  [ 0.0104221  -0.26540816  0.11528747]
  [ 0.16612604  0.10249299  0.236233  ]
  [ 0.09747371  0.45982003  0.48331794]
  [ 0.18432419 -0.21772704 -0.27977574]
  [-0.03816132 -0.29938197 -0.25868553]
  [-0.04464804 -0.5561572  -0.2170131 ]
  [-0.02134666 -0.60963804  0.04322813]
  [-0.05396131 -0.39663887  0.19580673]
  [ 0.12289334 -0.25901106  0.26255703]
  [-0.021807   -0.64336836 -0.10150075]
  [-0.03023633 -0.8317256  -0.10004403]
  [ 0.03604448 -0.7633435  -0.21352044]
  [ 0.04534731 -0.8015618  -0.16980165]
  [-0.01283174 -0.7903576  -0.19475779]
  [ 0.04697754 -0.7771909  -0.07484878]
  [-0.0739509  -0.7575317  -0.13141881]]]
