[[[-0.48278278  0.16399929  0.54696226]
  [-0.1712755  -0.00819698  0.33668503]
  [ 0.07255671 -0.08913247  0.02984685]
  [-0.03996515 -0.28234792  0.0082322 ]
  [-0.12614599 -0.1258624   0.3618636 ]
  [-0.3305172   0.05038863  0.6812949 ]
  [ 0.41063794 -0.5596121  -0.09870375]
  [ 0.39696783 -0.34631076 -0.03566933]
  [ 0.32571724 -0.25988838 -0.22233266]
  [ 0.26971546 -0.36749202 -0.24486785]
  [ 0.15619819 -0.5613935  -0.21502292]
  [ 0.34660515 -0.60241693 -0.26299256]
  [ 0.32240123 -0.32394898 -0.23274514]
  [ 0.47796166 -0.40631273 -0.21484299]
  [ 0.3558121  -0.43391377 -0.13577557]
  [ 0.3892016  -0.45999557 -0.17275754]
  [ 0.40859157 -0.41873834 -0.12851918]
  [ 0.40490684 -0.42023426 -0.25261748]
  [ 0.44051728 -0.34430683 -0.17248695]]]
