[[[-0.48112613 -0.03703743  0.61512315]
  [-0.15283683 -0.16501237  0.38674992]
  [ 0.06870115 -0.0996525   0.0655293 ]
  [-0.04113215 -0.27697453 -0.03447021]
  [-0.13455653 -0.22677663  0.35276946]
  [-0.3923481  -0.16985936  0.68595827]
  [ 0.207497   -0.50601506  0.00288332]
  [ 0.26112038 -0.29571676  0.05670496]
  [ 0.37621966 -0.19063276 -0.10679436]
  [ 0.3282443  -0.29461843 -0.21081966]
  [ 0.14144279 -0.4321624  -0.21700498]
  [ 0.29295525 -0.5083374  -0.10178065]
  [ 0.37719277 -0.2503152  -0.15374884]
  [ 0.5111619  -0.34336483 -0.09217896]
  [ 0.3668075  -0.35895276 -0.06182686]
  [ 0.40818185 -0.38818878 -0.08534834]
  [ 0.41492528 -0.34708884 -0.03739435]
  [ 0.45467234 -0.35138893 -0.15585212]
  [ 0.46677    -0.27592957 -0.06454401]]]
