[[[-0.41155362  0.06512838  0.62830096]
  [-0.11605125 -0.08808519  0.38577357]
  [ 0.07505232 -0.09878421  0.0474709 ]
  [-0.04963748 -0.27635086 -0.02081987]
  [-0.11426705 -0.2189432   0.36014074]
  [-0.34752762 -0.12688199  0.6934078 ]
  [ 0.24061571 -0.4965283   0.00820758]
  [ 0.27878097 -0.2865514   0.06134742]
  [ 0.3622753  -0.24306965 -0.13549328]
  [ 0.30312273 -0.35461178 -0.20201677]
  [ 0.12574613 -0.4862816  -0.15520659]
  [ 0.2948682  -0.5251799  -0.05297247]
  [ 0.3566283  -0.30877683 -0.16587003]
  [ 0.49269912 -0.40315977 -0.12080387]
  [ 0.357405   -0.40927684 -0.05998892]
  [ 0.3919379  -0.44214422 -0.08895102]
  [ 0.4098587  -0.3984066  -0.04655223]
  [ 0.4244395  -0.41317797 -0.16984352]
  [ 0.457442   -0.33251885 -0.09020865]]]
