[[[ 0.20431     0.02929868 -0.26569444]
  [ 0.01818112 -0.2870448  -0.34488264]
  [-0.12608628 -0.21808004  0.01459384]
  [ 0.11033673 -0.21922691  0.05356536]
  [ 0.1078724  -0.16932595 -0.34610602]
  [ 0.1651571   0.22505039 -0.34695804]
  [-0.52019083 -0.426709    0.15642987]
  [-0.32419735 -0.48886934  0.25695407]
  [-0.10280338 -0.6042577   0.19917712]
  [ 0.16092585 -0.5578153   0.19101623]
  [ 0.34818786 -0.38039023  0.18080921]
  [ 0.48195085 -0.34497383 -0.00124207]
  [ 0.03664884 -0.62798023  0.19062328]
  [ 0.08263258 -0.8083499   0.23327985]
  [ 0.07751864 -0.7661092   0.08748047]
  [ 0.11424308 -0.7813554   0.13130823]
  [ 0.05155832 -0.7979076   0.12869787]
  [ 0.13285187 -0.73096335  0.21129754]
  [-0.00095097 -0.7644478   0.20751444]]]
