[[[-0.21608506  0.39063007  0.22896817]
  [-0.18145536  0.11519299 -0.08035032]
  [-0.11628874 -0.2931366   0.01299903]
  [ 0.11810417 -0.2432653   0.011553  ]
  [-0.01758838  0.13359195 -0.09962084]
  [-0.10100215  0.47909802  0.12512942]
  [-0.14060958 -0.37026277 -0.11708082]
  [-0.24285005 -0.5305679   0.03187477]
  [-0.06539046 -0.71104157 -0.05967255]
  [ 0.22438262 -0.65896845 -0.06544988]
  [ 0.2763733  -0.39498946 -0.02572856]
  [ 0.12715502 -0.3875294  -0.20834048]
  [ 0.0903813  -0.7523911  -0.08792542]
  [ 0.09844391 -0.9679211  -0.10599041]
  [ 0.11841179 -0.8848926  -0.23620752]
  [ 0.14657563 -0.9211006  -0.19396996]
  [ 0.08091102 -0.9221071  -0.20411491]
  [ 0.16993599 -0.8936072  -0.09927284]
  [ 0.0269767  -0.8982278  -0.11938637]]]
