[[[-0.0834797   0.51636916  0.20519875]
  [-0.0594346   0.172311   -0.0242552 ]
  [-0.09447826 -0.23310262 -0.05734218]
  [ 0.0844446  -0.28459078  0.06371199]
  [ 0.23027259  0.08789425  0.07356994]
  [ 0.37093338  0.41733384  0.2905238 ]
  [ 0.06052912 -0.35526624 -0.1001323 ]
  [-0.12331314 -0.45502836 -0.2204221 ]
  [-0.11391327 -0.6927904  -0.1365329 ]
  [ 0.03905579 -0.7192048   0.07369368]
  [ 0.06119547 -0.5738973   0.28701836]
  [ 0.17080061 -0.39028105  0.20302624]
  [-0.02883634 -0.7566742  -0.04951002]
  [-0.03162496 -0.9574232  -0.07857618]
  [-0.07816321 -0.85570234 -0.18178503]
  [-0.03960661 -0.9015925  -0.17114109]
  [-0.09365923 -0.8933045  -0.13565382]
  [ 0.0446514  -0.89451575 -0.11310552]
  [-0.07542395 -0.8826508  -0.04057854]]]
