[[[-0.12501127  0.5017189   0.26339826]
  [-0.08144774  0.16428348  0.04442549]
  [-0.06429137 -0.2192344  -0.08761118]
  [ 0.0769695  -0.2546601   0.08525638]
  [ 0.09973684  0.14388965  0.08269023]
  [ 0.02421042  0.47127402  0.31144282]
  [ 0.33444092 -0.4022849  -0.01987214]
  [ 0.18041356 -0.4852252  -0.18318668]
  [ 0.01791847 -0.6627803  -0.16982804]
  [ 0.09455993 -0.68060315  0.05802197]
  [ 0.21609274 -0.53605974  0.23367481]
  [ 0.40041712 -0.57519096  0.11744665]
  [ 0.05974459 -0.71936995 -0.06473953]
  [ 0.11307759 -0.9189135  -0.06754652]
  [ 0.20638636 -0.80415666 -0.10958195]
  [ 0.19640052 -0.8453229  -0.06738105]
  [ 0.17679161 -0.8518157  -0.12907264]
  [ 0.11839965 -0.84314054 -0.00740964]
  [ 0.07719432 -0.861082   -0.13442695]]]
