[[[ 0.07386672  0.56149685  0.20370272]
  [ 0.01266875  0.13736434  0.19294435]
  [ 0.0809807  -0.26718166  0.09550084]
  [-0.09122706 -0.25753453 -0.06409429]
  [-0.18232216  0.14509109 -0.01607331]
  [-0.18863428  0.57264316 -0.07909986]
  [ 0.02681825 -0.26052752  0.38987836]
  [ 0.13308056 -0.43393832  0.23220679]
  [ 0.11526032 -0.6728811   0.09803741]
  [-0.05401967 -0.6882141  -0.12701225]
  [-0.1478672  -0.45172703 -0.22952445]
  [-0.30279922 -0.2635836  -0.16899195]
  [ 0.02804587 -0.7484152  -0.00610979]
  [ 0.02196093 -0.9708375   0.00973777]
  [ 0.00831177 -0.8762778   0.13157593]
  [-0.02102746 -0.91752976  0.09638103]
  [ 0.04520905 -0.91421634  0.09972589]
  [-0.05359455 -0.9027672  -0.00113945]
  [ 0.08830693 -0.89774877  0.00872491]]]
