[[[-0.3996514   0.23083633  0.47641477]
  [-0.20442833  0.07515165  0.18205962]
  [-0.02910826 -0.14429139 -0.09509419]
  [ 0.06563917 -0.19305465  0.0836314 ]
  [-0.13182534  0.12565103  0.18010005]
  [-0.37550956  0.39305544  0.33496916]
  [ 0.27818888 -0.3369524  -0.28968832]
  [ 0.07716057 -0.35569134 -0.30961823]
  [ 0.09378932 -0.52020365 -0.18542975]
  [ 0.23225515 -0.49255478 -0.09965177]
  [ 0.27912292 -0.2681867  -0.12084463]
  [ 0.28440994 -0.32180953 -0.30985296]
  [ 0.17039998 -0.53540355 -0.15802878]
  [ 0.24167596 -0.6377455  -0.27982163]
  [ 0.2505532  -0.49109685 -0.27544484]
  [ 0.28407377 -0.53589463 -0.27176988]
  [ 0.23175932 -0.53151345 -0.30731162]
  [ 0.26663417 -0.60160106 -0.20909792]
  [ 0.17198548 -0.59219724 -0.27385306]]]
