[[[-0.65695715  0.30270946  0.00628571]
  [-0.3714799  -0.01974518 -0.02553095]
  [-0.07484907 -0.2805737   0.08160762]
  [ 0.09585343 -0.177793   -0.05023894]
  [-0.23271874  0.01738809 -0.21581422]
  [-0.5006054   0.35504478 -0.26649868]
  [-0.25688004 -0.38706172  0.1203072 ]
  [-0.08168849 -0.3972448   0.27816752]
  [ 0.07421725 -0.5842276   0.17743105]
  [ 0.28829917 -0.53930545  0.01750283]
  [ 0.27642503 -0.2823887  -0.0588516 ]
  [ 0.09727579 -0.23408183 -0.20581758]
  [ 0.18795577 -0.6250795   0.0983943 ]
  [ 0.19700624 -0.823775    0.1371602 ]
  [ 0.11371407 -0.77006847  0.02278097]
  [ 0.16170618 -0.8028542   0.03477536]
  [ 0.11223336 -0.7940879   0.07665617]
  [ 0.24538326 -0.76812583  0.07309006]
  [ 0.14093369 -0.75071424  0.15967748]]]
