[[[-0.36245248  0.25586066  0.6523644 ]
  [-0.21145903  0.09008791  0.25521043]
  [-0.10782641 -0.19500984 -0.03510721]
  [ 0.1152643  -0.23160766  0.03291759]
  [ 0.10336013  0.10078924  0.3037726 ]
  [ 0.08872855  0.32750636  0.70179033]
  [-0.31818423 -0.39971307 -0.2192597 ]
  [-0.32058978 -0.440924    0.02027471]
  [-0.14371309 -0.5726058  -0.1396794 ]
  [ 0.13229719 -0.5878925  -0.11948476]
  [ 0.30101514 -0.40447345  0.00435315]
  [ 0.17722148 -0.3227518  -0.1812823 ]
  [-0.00698658 -0.6316278  -0.16153905]
  [-0.0306454  -0.81097883 -0.19058613]
  [-0.00653731 -0.7318708  -0.31647912]
  [ 0.01682518 -0.7744542  -0.2805528 ]
  [-0.04720105 -0.76240546 -0.28419173]
  [ 0.05036897 -0.7555325  -0.19231583]
  [-0.08248661 -0.7340359  -0.19831347]]]
