[[[-0.72448593 -0.02903502  0.36221594]
  [-0.4050534  -0.20844501  0.13482842]
  [-0.01446646 -0.3007719   0.09625059]
  [ 0.04501047 -0.14629981 -0.0788824 ]
  [-0.36476392 -0.13045353 -0.12144376]
  [-0.7212442   0.08820313 -0.01222491]
  [-0.13835943 -0.37934563  0.1499634 ]
  [ 0.07960927 -0.38121474  0.23751917]
  [ 0.21505298 -0.5463172   0.09054381]
  [ 0.35937372 -0.45160437 -0.10914821]
  [ 0.2748769  -0.2046799  -0.15206227]
  [ 0.07671399 -0.13558501 -0.26225656]
  [ 0.29827365 -0.55728424 -0.01513029]
  [ 0.33695197 -0.7420297   0.03135811]
  [ 0.21566898 -0.71310616 -0.05931463]
  [ 0.26830202 -0.7404825  -0.05895832]
  [ 0.23279178 -0.72835714 -0.00483811]
  [ 0.35664096 -0.6945518  -0.05236226]
  [ 0.28060097 -0.6700773   0.05981478]]]
