[[[-0.75648487 -0.05117904  0.15115741]
  [-0.4078281  -0.2452281   0.02163001]
  [-0.02342931 -0.28431538  0.09990294]
  [ 0.05241606 -0.1393804  -0.0713617 ]
  [-0.3409659  -0.17617688 -0.15872107]
  [-0.7048883   0.0350877  -0.12310301]
  [-0.20494202 -0.31262207  0.10638167]
  [ 0.00498623 -0.38047752  0.17509732]
  [ 0.17831439 -0.5373236   0.09878144]
  [ 0.33870447 -0.47838527 -0.08282986]
  [ 0.2704026  -0.30499852 -0.24812493]
  [ 0.05976214 -0.30081606 -0.34620875]
  [ 0.26497433 -0.5501125   0.01077456]
  [ 0.29430774 -0.7250738   0.04020223]
  [ 0.16605929 -0.678452   -0.02615807]
  [ 0.21308313 -0.7107052  -0.03616719]
  [ 0.18964106 -0.6979591   0.02304977]
  [ 0.30580062 -0.6758517  -0.04223352]
  [ 0.25185338 -0.6509864   0.08018639]]]
