[[[-0.6836278   0.0825041  -0.15184629]
  [-0.3689004  -0.19089887 -0.12333842]
  [-0.06146162 -0.27525693  0.10519576]
  [ 0.09154516 -0.18092018 -0.057023  ]
  [-0.24125163 -0.19121096 -0.26820463]
  [-0.54810953  0.09091997 -0.28506225]
  [-0.12646724 -0.5442591   0.03889055]
  [-0.09498002 -0.39933914  0.21457465]
  [ 0.04170304 -0.599378    0.14705074]
  [ 0.25730574 -0.5868882  -0.00201351]
  [ 0.33743143 -0.34208292 -0.00745069]
  [ 0.25262076 -0.19576003 -0.16788611]
  [ 0.13982183 -0.6462165   0.06217278]
  [ 0.14040051 -0.8392914   0.07253405]
  [ 0.04684425 -0.775164   -0.03199105]
  [ 0.09642422 -0.80690974 -0.02662109]
  [ 0.04916058 -0.8040722   0.01938083]
  [ 0.18484005 -0.7759046   0.01043367]
  [ 0.08153434 -0.7678475   0.10841867]]]
