[[[ 0.11164637  0.52825814  0.2471185 ]
  [ 0.02289754  0.13038902  0.17158313]
  [ 0.0044172  -0.28013414  0.12619671]
  [-0.03190776 -0.22880748 -0.09814771]
  [-0.07464345  0.1564445   0.02633977]
  [-0.04583439  0.5626649   0.11531137]
  [-0.17601185 -0.52650505  0.28904575]
  [ 0.05638218 -0.58246195  0.31408516]
  [ 0.02532521 -0.7053179   0.08402789]
  [-0.10400635 -0.668144   -0.15397547]
  [-0.23500513 -0.4382297  -0.16029169]
  [-0.28935283 -0.5074347   0.05616529]
  [-0.04774265 -0.7389925  -0.03051445]
  [-0.09314685 -0.9418665   0.01154675]
  [-0.1476871  -0.8230097   0.09279082]
  [-0.16298234 -0.86837125  0.05563196]
  [-0.10736182 -0.8680886   0.09029117]
  [-0.14344582 -0.8722418  -0.04456531]
  [-0.02465965 -0.8751119   0.03222018]]]
