[[[-0.2091277   0.53416324  0.27777585]
  [-0.10133769  0.21036905  0.01176854]
  [-0.0897834  -0.2000089  -0.06074537]
  [ 0.0933997  -0.2414266   0.07129724]
  [ 0.16022076  0.16986218  0.09308913]
  [ 0.17293495  0.454699    0.4255703 ]
  [-0.29647428 -0.43793312 -0.43414128]
  [-0.3052352  -0.50529194 -0.20591313]
  [-0.06311359 -0.6031558  -0.1807696 ]
  [ 0.14082281 -0.59931326 -0.0189585 ]
  [ 0.14558887 -0.45734978  0.20145693]
  [ 0.21018343 -0.26828504  0.08314762]
  [ 0.05764948 -0.6439976  -0.12318324]
  [ 0.05434977 -0.8057398  -0.08856442]
  [ 0.09799043 -0.7794911  -0.2297126 ]
  [ 0.11503784 -0.80322367 -0.177416  ]
  [ 0.05304151 -0.7974616  -0.19421548]
  [ 0.13448845 -0.7496782  -0.09972917]
  [ 0.00436113 -0.7430164  -0.13378076]]]
