[[[-0.44464442  0.17640194  0.65493166]
  [-0.22643903  0.08496863  0.26614028]
  [-0.08972922 -0.15975976 -0.05241622]
  [ 0.10413326 -0.23231989  0.039772  ]
  [ 0.07613715  0.06408546  0.3548273 ]
  [ 0.01715661  0.14326632  0.80221534]
  [-0.3583782  -0.33351496 -0.4048185 ]
  [-0.2937335  -0.33117312 -0.17035784]
  [-0.10432875 -0.5126904  -0.23124892]
  [ 0.14927974 -0.5294042  -0.1525494 ]
  [ 0.2583965  -0.32562032 -0.00892111]
  [ 0.24363826 -0.18556324 -0.20060517]
  [ 0.02801657 -0.5721244  -0.22038797]
  [ 0.04498857 -0.7322445  -0.19586587]
  [ 0.01700428 -0.7010555  -0.3373667 ]
  [ 0.05642499 -0.7274847  -0.30154717]
  [-0.0061506  -0.72109866 -0.28614825]
  [ 0.11026199 -0.6762677  -0.24205711]
  [-0.01701    -0.67015344 -0.21017584]]]
