[[[-0.54512113 -0.45618176  0.29877758]
  [-0.17225121 -0.5343501   0.14791799]
  [ 0.04748403 -0.19985358  0.1276245 ]
  [-0.01860152 -0.19522087 -0.10579335]
  [-0.24801898 -0.5133582  -0.02200091]
  [-0.6364     -0.53887904  0.1319949 ]
  [ 0.00205663 -0.34212354  0.04767705]
  [ 0.17476547 -0.257531    0.19644865]
  [ 0.4007684  -0.18166313  0.09815148]
  [ 0.40297976 -0.15368252 -0.15475966]
  [ 0.16568637 -0.20692742 -0.23708124]
  [ 0.01316366 -0.36852658 -0.15518694]
  [ 0.4513396  -0.17591242 -0.02159838]
  [ 0.6420274  -0.20976515  0.02496712]
  [ 0.5249542  -0.2976147   0.06000184]
  [ 0.5753102  -0.29770175  0.03104695]
  [ 0.5624588  -0.25866914  0.08050328]
  [ 0.5905788  -0.24541393 -0.05017168]
  [ 0.56732416 -0.16653243  0.05495334]]]
