[[[ 0.03940962 -0.26110363 -0.49993747]
  [-0.07100126 -0.542853   -0.21713507]
  [-0.13236488 -0.20436382  0.0047802 ]
  [ 0.10967448 -0.21284105  0.08315626]
  [ 0.19396973 -0.5491405  -0.09722891]
  [ 0.27279863 -0.3352428  -0.4583206 ]
  [-0.31395802 -0.84362566  0.17143753]
  [-0.39876702 -0.6285534   0.08188267]
  [-0.21989197 -0.53703976  0.2650698 ]
  [ 0.06057225 -0.53110886  0.2895609 ]
  [ 0.24318048 -0.45705652  0.1018163 ]
  [ 0.14953588 -0.6721394   0.03784457]
  [-0.08625799 -0.56935245  0.28816193]
  [-0.07898486 -0.76722014  0.30769092]
  [-0.07842766 -0.7011554   0.16855706]
  [-0.04423859 -0.72902036  0.20852646]
  [-0.11058632 -0.7317648   0.20827617]
  [-0.00801707 -0.6940395   0.29774022]
  [-0.15681094 -0.6998844   0.2976778 ]]]
